file,title,meta_description_length,canonical,h1_count,image_count,missing_alt,missing_loading
index.html,Churchill Memorials — Desktop Rebuild Prototype,172,https://churchillmemorials.co.uk/,15,23,0,0
product/willow-garden/index.html,Willow Garden | Churchill Memorials,155,https://churchillmemorials.co.uk/product/willow-garden/,1,2,0,0
product/meadow-rest/index.html,Meadow Rest | Churchill Memorials,153,https://churchillmemorials.co.uk/product/meadow-rest/,1,1,0,0
product/heritage-garden/index.html,Heritage Garden | Churchill Memorials,157,https://churchillmemorials.co.uk/product/heritage-garden/,1,1,0,0
product/sanctuary-rest/index.html,Sanctuary Rest | Churchill Memorials,153,https://churchillmemorials.co.uk/product/sanctuary-rest/,1,1,0,0
product/peace-book/index.html,Peace Book | Churchill Memorials,153,https://churchillmemorials.co.uk/product/peace-book/,1,2,0,0
product/legacy-book/index.html,Legacy Book | Churchill Memorials,151,https://churchillmemorials.co.uk/product/legacy-book/,1,3,0,0
product/family-garden/index.html,Family Garden | Churchill Memorials,153,https://churchillmemorials.co.uk/product/family-garden/,1,2,0,0
product/memory-garden/index.html,Memory Garden | Churchill Memorials,153,https://churchillmemorials.co.uk/product/memory-garden/,1,2,0,0
product/cedar-rest/index.html,Cedar Rest | Churchill Memorials,150,https://churchillmemorials.co.uk/product/cedar-rest/,1,2,0,0
product/dove-garden/index.html,Dove Garden | Churchill Memorials,151,https://churchillmemorials.co.uk/product/dove-garden/,1,2,0,0
product/ivy-rest/index.html,Ivy Rest | Churchill Memorials,155,https://churchillmemorials.co.uk/product/ivy-rest/,1,2,0,0
product/oak-garden/index.html,Oak Garden | Churchill Memorials,153,https://churchillmemorials.co.uk/product/oak-garden/,1,2,0,0
product/stone-garden/index.html,Stone Garden | Churchill Memorials,155,https://churchillmemorials.co.uk/product/stone-garden/,1,2,0,0
product/pearl-garden/index.html,Pearl Garden | Churchill Memorials,155,https://churchillmemorials.co.uk/product/pearl-garden/,1,2,0,0
product/haven-rest/index.html,Haven Rest | Churchill Memorials,153,https://churchillmemorials.co.uk/product/haven-rest/,1,3,0,0
product/eden-garden/index.html,Eden Garden | Churchill Memorials,154,https://churchillmemorials.co.uk/product/eden-garden/,1,2,0,0
product/noble-rest/index.html,Noble Rest | Churchill Memorials,153,https://churchillmemorials.co.uk/product/noble-rest/,1,2,0,0
product/crown-garden/index.html,Crown Garden | Churchill Memorials,155,https://churchillmemorials.co.uk/product/crown-garden/,1,2,0,0
product/bloom-rest/index.html,Bloom Rest | Churchill Memorials,153,https://churchillmemorials.co.uk/product/bloom-rest/,1,3,0,0
product/laurel-garden/index.html,Laurel Garden | Churchill Memorials,156,https://churchillmemorials.co.uk/product/laurel-garden/,1,3,0,0
product/calm-garden/index.html,Calm Garden | Churchill Memorials,154,https://churchillmemorials.co.uk/product/calm-garden/,1,3,0,0
product/faith-grace/index.html,Faith Grace | Churchill Memorials,152,https://churchillmemorials.co.uk/product/faith-grace/,1,3,0,0
product/salaam-grace/index.html,Salaam Grace | Churchill Memorials,153,https://churchillmemorials.co.uk/product/salaam-grace/,1,2,0,0
product/noor-grace/index.html,Noor Grace | Churchill Memorials,151,https://churchillmemorials.co.uk/product/noor-grace/,1,1,0,0
product/sabr-grace/index.html,Sabr Grace | Churchill Memorials,150,https://churchillmemorials.co.uk/product/sabr-grace/,1,3,0,0
product/mercy-grace/index.html,Mercy Grace | Churchill Memorials,151,https://churchillmemorials.co.uk/product/mercy-grace/,1,1,0,0
